Position,Track Name,Artist,Streams,date,region,spotify_id
142,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,807834,2020-02-01,global,6osaMSJh9NguagEDQcZaKx
143,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,807645,2020-02-01,global,1ndyl3wJCFs872XZ3ztPk6
144,Mon Ami,Samra,807373,2020-02-01,global,1R4xkZXQUQ8QJtAdwHkSgC
145,Break My Stride,Matthew Wilder,806936,2020-02-01,global,1mCsF9Tw4AkIZOjvZbZZdT
146,Jocelyn Flores,XXXTENTACION,804322,2020-02-01,global,7m9OqQk4RVRkw9JJdeAw96
147,Pa' Olvidarme De Ella,Piso 21,803589,2020-02-01,global,1cVlW9WQiGlFdWUXFdFZGh
148,Girls Like You (feat. Cardi B),Maroon 5,801384,2020-02-01,global,7fa9MBXhVfQ8P8Df9OEbD8
149,Con Calma,Daddy Yankee,798159,2020-02-01,global,5w9c2J52mkdntKOmRLeM2m
150,Kein Wort,Juju,797760,2020-02-01,global,1hoLUVBx0ixX3kn0EX0P5n
151,Eastside (with Halsey & Khalid),benny blanco,796662,2020-02-01,global,7FGq80cy8juXBCD2nrqdWU
152,Say You Won't Let Go,James Arthur,795265,2020-02-01,global,5uCax9HTNlzGybIStD3vDh
153,No Guidance (feat. Drake),Chris Brown,792912,2020-02-01,global,6XHVuErjQ4XNm6nDPVCxVX
154,Perfect,Ed Sheeran,792452,2020-02-01,global,0tgVpDi06FyKpA1z0VMD4v
155,Moonlight,XXXTENTACION,791331,2020-02-01,global,0JP9xo3adEtGSdUEISiszL
156,You Need To Calm Down,Taylor Swift,786859,2020-02-01,global,6RRNNciQGZEXnqk8SQ9yv5
157,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,781124,2020-02-01,global,3tv697PZNnaQN0Mn2zGhS5
158,QUE PRETENDES,J Balvin,780423,2020-02-01,global,25ZAibhr3bdlMCLmubZDVt
159,Girl,Myke Towers,780046,2020-02-01,global,43NqTeL8pgBxKHPMiJKUP5
160,goosebumps,Travis Scott,775498,2020-02-01,global,6gBFPUFcJLzWGx4lenP6h2
161,Suge,DaBaby,775070,2020-02-01,global,2gwkD6igEhQbDQegRCcdoB
162,Otro Trago - Remix,Sech,774286,2020-02-01,global,4bTZeO72FwMa6wKOiqoynL
163,wish you were gay,Billie Eilish,771998,2020-02-01,global,3Fj47GNK2kUF0uaEDgXLaD
164,Better Now,Post Malone,758925,2020-02-01,global,7dt6x5M1jzdTEt8oCbisTK
165,High Hopes,Panic! At The Disco,758596,2020-02-01,global,1rqqCSm0Qe4I9rUvWncaom
166,Sum 2 Prove,Lil Baby,754809,2020-02-01,global,2u3EyuCqqV31woqGvO9LBz
167,3 Nights,Dominic Fike,754640,2020-02-01,global,0uI7yAKUf52Cn7y3sYyjiX
168,Panini,Lil Nas X,745958,2020-02-01,global,1000nHvUdawXuUHgBod4Wv
169,Turn Me On (feat. Vula),Riton,744769,2020-02-01,global,0qaWEvPkts34WF68r8Dzx9
170,Mahogany,Lil Wayne,743551,2020-02-01,global,5f9JYuHSIHjp6rggue13RS
171,If I Can't Have You,Shawn Mendes,743035,2020-02-01,global,2bT1PH7Cw3J9p3t7nlXCdh
172,Que Calor (with J Balvin & El Alfa),Major Lazer,742242,2020-02-01,global,1G2CAJeP7rCwOZjlSJ0Zw3
173,Maniac,Conan Gray,741762,2020-02-01,global,7hpJ9tATWb2vztlq99hERP
174,223's (feat. 9lokknine),YNW Melly,739605,2020-02-01,global,29ZXwWOOLz9t5fa3eT3i7T
175,EARFQUAKE,"Tyler, The Creator",738153,2020-02-01,global,5hVghJ4KaYES3BFUATCYn0
176,Psycho,Red Velvet,738100,2020-02-01,global,3CYH422oy1cZNoo0GTG1TK
177,Can We Kiss Forever?,Kina,736743,2020-02-01,global,58wyJLv6yH1La9NIZPl3ne
178,i love you,Billie Eilish,732140,2020-02-01,global,6CcJMwBtXByIz4zQLzFkKc
179,11 PM,Maluma,726231,2020-02-01,global,7KbF6AdprOXEEHlsq11Z6d
180,you should see me in a crown,Billie Eilish,719447,2020-02-01,global,3XF5xLJHOQQRbWya6hBp7d
181,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,718713,2020-02-01,global,4ea9w8c4ROqiZpJVhfBA3m
182,Graveyard,Halsey,718125,2020-02-01,global,2ufmtcIFdFpuUYBPXK5f67
183,Only Human,Jonas Brothers,717593,2020-02-01,global,0DiDStADDVh3SvAsoJAFMk
184,Liar,Camila Cabello,715974,2020-02-01,global,073ILU1C3APNRGF66VhtyA
185,All of Me,John Legend,715687,2020-02-01,global,3U4isOIWM3VvDubwSI3y7a
186,God's Plan,Drake,715685,2020-02-01,global,6DCZcSspjsKoFjzjrWoCdn
187,I Like Me Better,Lauv,714618,2020-02-01,global,2P91MQbaiQOfbiz9VqhqKQ
188,Youngblood,5 Seconds of Summer,713251,2020-02-01,global,2iUXsYOEPhVqEBwsqP70rE
189,Going Bad (feat. Drake),Meek Mill,710838,2020-02-01,global,2IRZnDFmlqMuOrYOLnZZyc
190,Thunder,Imagine Dragons,709699,2020-02-01,global,1zB4vmk8tFRmM9UULNzbLB
191,Calma - Remix,Pedro Capó,708064,2020-02-01,global,5iwz1NiezX7WWjnCgY5TH4
192,One Kiss (with Dua Lipa),Calvin Harris,706995,2020-02-01,global,7ef4DlsgrMEH11cDZd32M6
193,Talk (feat. Disclosure),Khalid,706566,2020-02-01,global,6TqXcAFInzjp0bODyvrWEq
194,Takeaway,The Chainsmokers,704231,2020-02-01,global,3g0mEQx3NTanacLseoP0Gw
195,Darkness,Eminem,703181,2020-02-01,global,5SiZJoLXp3WOl3J4C8IK0d
196,MIDDLE CHILD,J. Cole,703000,2020-02-01,global,2JvzF1RMd7lE3KmFlsyZD8
197,Falling,Harry Styles,698610,2020-02-01,global,1ZMiCix7XSAbfAJlEZWMCp
198,Let Me Down Slowly,Alec Benjamin,698215,2020-02-01,global,2qxmye6gAegTMjLKEBoR3d
199,I.F.L.Y.,Bazzi,696058,2020-02-01,global,4a6q8CR2hzLk2plDkSxkfD
200,Fantasía,Ozuna,695562,2020-02-01,global,40rXWke6SnXiGkSmaT8ZUr
